Matnr,Spras,Maktx
000000000010001159,EN,Variable Speed Drive Unit HD SIEMENS
000000000010001160,EN,Vertical Sump Pump Column 110KW WEIR
000000000080000281,EN,Mill Liner TYPE B KSB
000000000080000282,EN,Conveyor Drive Gearbox 110KW SKF
000000000090000063,EN,Soft Starter Power Module 10/8 WEIR
000000000010001161,EN,Centrifugal Pump Casing 6/4 METSO
000000000010001162,EN,Ventilation Fan Motor 10/8 SIEMENS
000000000010001163,EN,Cyclone Apex Liner 200MM ABB
000000000010001164,EN,Vertical Sump Pump Column DN150 KSB
000000000010001165,EN,Agitator Shaft Seal DN100 WEIR
000000000090000064,EN,Slurry Pump Mechanical Seal DN100 ABB
000000000010001166,EN,Ball Mill Trunnion Bearing 250MM ABB
000000000010001167,EN,Vertical Sump Pump Column 250KW ABB
000000000010001168,EN,Variable Speed Drive Unit 10/8 FLSM
000000000010001169,EN,Pressure Transmitter Assembly 6/4 ABB
000000000010001170,EN,Conveyor Idler Roller Set 10/8 ABB
000000000090000065,EN,Apron Feeder Gear Reducer 10/8 SIEMENS
000000000010001171,EN,Flotation Cell Impeller 200MM SANDVIK
000000000010001172,EN,Level Radar Transmitter DN150 KSB
000000000080000283,EN,Flotation Blower Motor 200MM SKF
000000000030000288,EN,Spherical Roller Bearing DN100 MULTOTEC
000000000030000289,EN,Flow Meter Sensor Head TYPE B SKF
000000000010001173,EN,Valve Assembly 110KW SKF
000000000010001174,EN,Level Radar Transmitter 6/4 WEIR
000000000010001175,EN,Thickener Rake Seal Kit 200MM FLSM
000000000010001176,EN,Crusher Hydroset Cylinder TYPE A METSO
000000000010001177,EN,MCC Feeder Circuit Breaker TYPE A SEW
000000000010001178,EN,Slurry Pump Wet End Assembly DN100 FLSM
000000000010001179,EN,MCC Feeder Circuit Breaker 6/4 MULTOTEC
000000000010001180,EN,Conveyor Idler Roller Set 250KW SIEMENS
000000000010001181,EN,Variable Speed Drive Unit DN100 FLSM
000000000010001182,EN,Flotation Blower Motor HD ABB
000000000030000290,EN,Pump Impeller TYPE A KSB
000000000010001183,EN,Flotation Cell Impeller HD WEIR
000000000010001184,EN,Flow Meter Sensor Head 250MM SKF
000000000080000284,EN,Skirt Rubber Liner Section 200MM FLSM
000000000080000285,EN,Flotation Cell Impeller 10/8 SKF
000000000010001185,EN,Apron Feeder Gear Reducer TYPE A SEW
000000000030000291,EN,Ball Mill Shell Liner Plate 250KW WEIR
000000000010001186,EN,Ball Mill Gearbox Assembly 150MM SEW
000000000030000292,EN,Flotation Cell Impeller 6/4 KSB
000000000010001187,EN,Ball Mill Shell Liner Plate 200MM METSO
000000000010001188,EN,Centrifugal Pump Casing DN150 METSO
000000000030000293,EN,Conveyor Idler Roller Set 55KW SKF
000000000010001189,EN,Centrifugal Pump Casing 250MM SKF
000000000080000286,EN,Ball Mill Gearbox Assembly 6/4 SKF
000000000010001190,EN,Ball Mill Trunnion Bearing 200MM FLSM
000000000010001191,EN,Crusher Main Shaft Bearing 200MM
000000000080000287,EN,Hydraulic Power Pack 250MM KSB
000000000010001192,EN,Belt Scraper Blade Cartridge HD
000000000010001193,EN,Flow Meter Sensor Head DN100 METSO
000000000010001194,EN,Conveyor Idler Roller Set 55KW SKF
000000000010001195,EN,Ball Mill Trunnion Bearing 250MM SEW
000000000010001196,EN,Spherical Roller Bearing HD SANDVIK
000000000090000066,EN,Crusher Hydroset Cylinder 10/8 WEIR
000000000010001197,EN,Apron Feeder Gear Reducer 150MM MULTOTEC
000000000010001198,EN,PLC Digital Output Card 110KW SIEMENS
000000000010001199,EN,Skirt Rubber Liner Section 200MM SEW
000000000010001200,EN,Hydraulic Pump Assembly HD ABB
000000000010001201,EN,Conveyor Idler Roller Set HD ABB
000000000010001202,EN,Gland Packing Seal Ring TYPE A FLSM
000000000010001203,EN,Vertical Sump Pump Column DN100 FLSM
000000000010001204,EN,Gearbox Bearing 250KW METSO
000000000010001205,EN,Slurry Pump Wet End Assembly 250KW SEW
000000000010001206,EN,Ventilation Fan Motor 250KW ABB
000000000030000294,EN,Hydraulic Pump Assembly DN150 KSB
000000000010001207,EN,Level Radar Transmitter TYPE B SEW
000000000030000295,EN,Flotation Blower Motor DN150 FLSM
000000000030000296,EN,Conveyor Idler Roller Set 8/6 FLSM
000000000090000067,EN,Flotation Blower Motor 250KW SEW
000000000010001208,EN,Gland Packing Seal Ring 200MM FLSM
000000000010001209,EN,Ball Mill Shell Liner Plate 200MM SKF
000000000010001210,EN,Mill Liner HD SIEMENS
000000000030000297,EN,Conveyor Drive Motor 200MM METSO
000000000030000298,EN,Conveyor Drive Motor TYPE B MULTOTEC
000000000010001211,EN,Centrifugal Pump Casing 55KW SEW
000000000010001212,EN,Conveyor Take-Up Pulley 250KW ABB
000000000010001213,EN,Soft Starter Power Module 110KW METSO
000000000010001214,EN,Cyclone Apex Liner 110KW SIEMENS
000000000010001215,EN,Conveyor Drive Gearbox 250KW SKF
000000000030000299,EN,Thickener Rake Seal Kit DN100 MULTOTEC
000000000080000288,EN,Ball Mill Shell Liner Plate 250KW FLSM
000000000080000289,EN,Slurry Density Transmitter 6/4 SANDVIK
000000000030000300,EN,Valve Assembly 55KW FLSM
000000000010001216,EN,Ball Mill Gearbox Assembly 250MM SEW
000000000080000290,EN,Crusher Hydroset Cylinder DN150 FLSM
000000000010001217,EN,Cyclone Apex Liner DN150 ABB
000000000010001218,EN,MCC Feeder Circuit Breaker 150MM SKF
000000000010001219,EN,Cyclone Apex Liner 110KW WEIR
000000000010001220,EN,Crusher Hydroset Cylinder 110KW FLSM
000000000010001221,EN,Conveyor Drive Gearbox DN150 ABB
000000000030000301,EN,Conveyor Drive Gearbox TYPE A SIEMENS
000000000010001222,EN,Ball Mill Shell Liner Plate DN100 KSB
000000000030000302,EN,Conveyor Take-Up Pulley DN150 KSB
000000000010001223,EN,Variable Speed Drive Unit 250KW SIEMENS
000000000010001224,EN,Vertical Sump Pump Column DN150 METSO
000000000010001225,EN,Hydraulic Power Pack DN150 SEW
000000000080000291,EN,Slurry Density Transmitter 150MM SIEMENS
000000000010001226,EN,Belt Scraper Blade Cartridge 8/6 SKF
000000000080000292,EN,Thickener Rake Seal Kit TYPE B METSO
000000000010001227,EN,Mill Liner 150MM FLSM
000000000010001228,EN,Thickener Rake Seal Kit 250MM KSB
000000000010001229,EN,Hydraulic Power Pack 200MM MULTOTEC
000000000090000068,EN,Pressure Transmitter Assembly 110KW
000000000010001230,EN,Ball Mill Gearbox Assembly 10/8 SANDVIK
000000000030000303,EN,Agitator Shaft Seal 8/6 SIEMENS
000000000010001231,EN,Belt Scraper Blade Cartridge HD FLSM
000000000010001232,EN,Mill Liner DN150 METSO
000000000010001233,EN,Conveyor Drive Motor HD SEW
000000000010001234,EN,Cyclone Apex Liner TYPE B SKF
000000000010001235,EN,Flow Meter Sensor Head 150MM FLSM
000000000010001236,EN,Flotation Cell Impeller 200MM MULTOTEC
000000000010001237,EN,Gland Packing Seal Ring DN100 METSO
000000000030000304,EN,Flotation Cell Impeller TYPE B SANDVIK
000000000090000069,EN,Conveyor Drive Gearbox HD MULTOTEC
000000000080000293,EN,Conveyor Take-Up Pulley DN100 SKF
000000000010001238,EN,Spherical Roller Bearing TYPE A ABB
000000000010001239,EN,Screen Exciter Bearing DN150 WEIR
000000000010001240,EN,PLC Digital Output Card 250MM SANDVIK
000000000080000294,EN,MCC Feeder Circuit Breaker DN150 SANDVIK
000000000080000295,EN,Mill Liner 200MM SIEMENS
000000000030000305,EN,Ball Mill Gearbox Assembly 55KW ABB
000000000010001241,EN,Thickener Rake Drive Gearbox 6/4 SKF
000000000010001242,EN,PLC Digital Output Card TYPE A SIEMENS
000000000030000306,EN,Vertical Sump Pump Column 6/4 WEIR
000000000010001243,EN,Conveyor Idler Roller Set TYPE A SKF
000000000030000307,EN,Ball Mill Shell Liner Plate 250KW WEIR
000000000010001244,EN,Conveyor Drive Motor HD MULTOTEC
000000000030000308,EN,Conveyor Drive Motor TYPE B MULTOTEC
000000000030000309,EN,Ventilation Fan Motor 8/6 SEW
000000000010001245,EN,Conveyor Idler Roller Set 200MM ABB
000000000010001246,EN,Gland Packing Seal Ring 250KW MULTOTEC
000000000010001247,EN,Vertical Sump Pump Column HD ABB
000000000010001248,EN,Mill Lube Pump Motor 8/6 SIEMENS
000000000010001249,EN,Skirt Rubber Liner Section HD METSO
000000000090000070,EN,Skirt Rubber Liner Section TYPE B KSB
000000000010001250,EN,MCC Feeder Circuit Breaker 6/4 METSO
000000000010001251,EN,Gearbox Bearing HD KSB
000000000090000071,EN,Slurry Density Transmitter 8/6 KSB
000000000010001252,EN,Gland Packing Seal Ring 250MM SIEMENS
000000000010001253,EN,Centrifugal Pump Casing HD WEIR
000000000080000296,EN,Valve Assembly 200MM ABB
000000000010001254,EN,Crusher Hydroset Cylinder DN100 SKF
000000000030000310,EN,Slurry Pump Mechanical Seal DN150 FLSM
000000000030000311,EN,Ventilation Fan Motor 8/6 SANDVIK
000000000010001255,EN,Flow Meter Sensor Head 250KW FLSM
000000000010001256,EN,Thickener Rake Drive Gearbox 250KW WEIR
000000000010001257,EN,Conveyor Drive Gearbox 200MM KSB
000000000010001258,EN,Flow Meter Sensor Head 10/8 FLSM
000000000010001259,EN,Centrifugal Pump Casing TYPE A SKF
000000000030000312,EN,Agitator Shaft Seal 150MM SANDVIK
000000000010001260,EN,Crusher Hydroset Cylinder 8/6 SEW
000000000090000072,EN,Slurry Pump Mechanical Seal 55KW KSB
000000000010001261,EN,Conveyor Pulley Bearing 55KW SKF
000000000010001262,EN,Slurry Pump Mechanical Seal HD SIEMENS
000000000010001263,EN,Ball Mill Gearbox Assembly 6/4 WEIR
000000000010001264,EN,Level Radar Transmitter TYPE A FLSM
000000000030000313,EN,Valve Assembly 250MM WEIR
000000000030000314,EN,Screen Exciter Bearing 110KW METSO
000000000030000315,EN,Pump Impeller DN150 SKF
000000000010001265,EN,Slurry Pump Wet End Assembly 250MM METSO
000000000010001266,EN,Flow Meter Sensor Head 110KW WEIR
000000000030000316,EN,Hydraulic Power Pack 110KW SKF
000000000010001267,EN,Thickener Rake Seal Kit 110KW SIEMENS
000000000010001268,EN,Level Radar Transmitter TYPE A FLSM
000000000030000317,EN,Gland Packing Seal Ring 8/6 SEW
000000000080000297,EN,Slurry Pump Wet End Assembly DN150
000000000010001269,EN,Ball Mill Trunnion Bearing 200MM SEW
000000000010001270,EN,Skirt Rubber Liner Section 110KW SANDVIK
000000000010001271,EN,Ball Mill Trunnion Bearing TYPE A SEW
000000000010001272,EN,Vertical Sump Pump Column 200MM SEW
000000000010001273,EN,Ball Mill Shell Liner Plate DN150
000000000010001274,EN,Flow Meter Sensor Head TYPE B FLSM
000000000010001275,EN,Slurry Pump Wet End Assembly 200MM KSB
000000000010001276,EN,Apron Feeder Gear Reducer DN100 KSB
000000000010001277,EN,Conveyor Drive Motor DN100 SIEMENS
000000000010001278,EN,Screen Exciter Bearing 200MM SKF
000000000030000318,EN,Pump Impeller DN150 SKF
000000000010001279,EN,Ball Mill Shell Liner Plate DN100
000000000030000319,EN,Pump Impeller HD MULTOTEC
000000000080000298,EN,Skirt Rubber Liner Section 55KW SANDVIK
000000000010001280,EN,Belt Scraper Blade Cartridge HD
000000000010001281,EN,Cyclone Apex Liner 200MM SKF
000000000010001282,EN,Crusher Hydroset Cylinder 6/4 SKF
000000000010001283,EN,Belt Scraper Blade Cartridge 200MM SKF
000000000030000320,EN,Spherical Roller Bearing 55KW FLSM
000000000010001284,EN,MCC Feeder Circuit Breaker 10/8
000000000010001285,EN,Pressure Transmitter Assembly HD SIEMENS
000000000010001286,EN,Flotation Blower Motor 10/8 WEIR
000000000010001287,EN,Thickener Rake Drive Gearbox DN150 ABB
000000000010001288,EN,Slurry Density Transmitter DN100
000000000030000321,EN,Hydraulic Power Pack 8/6 KSB
000000000010001289,EN,Level Radar Transmitter 6/4 MULTOTEC
000000000030000322,EN,Thickener Rake Seal Kit 10/8 KSB
000000000010001290,EN,Ball Mill Trunnion Bearing 110KW ABB
000000000090000073,EN,Skirt Rubber Liner Section DN150 SIEMENS
000000000010001291,EN,Conveyor Drive Gearbox 6/4 MULTOTEC
000000000010001292,EN,Slurry Density Transmitter 10/8 FLSM
000000000010001293,EN,Vertical Sump Pump Column 200MM WEIR
000000000080000299,EN,Flow Meter Sensor Head DN150 KSB
000000000010001294,EN,Crusher Main Shaft Bearing 55KW ABB
000000000010001295,EN,Apron Feeder Gear Reducer 150MM KSB
000000000010001296,EN,Mill Liner 55KW WEIR
000000000010001297,EN,Thickener Rake Drive Gearbox 6/4 SEW
000000000010001298,EN,Mill Lube Pump Motor 55KW SKF
000000000030000323,EN,Flow Meter Sensor Head DN100 METSO
000000000030000324,EN,Mill Liner 55KW SIEMENS
000000000080000300,EN,Slurry Pump Mechanical Seal 10/8 SKF
000000000010001299,EN,Level Radar Transmitter DN150 SEW
